,sub,hemi,AssessmentAge,MatrixR,central,ifs,imfs_h,imfs_v,iprs,pimfs,pmfs_a,pmfs_i,pmfs_p,sfs_a,sfs_p,sprs
2,n004t2,rh,17.07,30,0.233273923,0.11129839,0.238285959,0.18164745,0.263747305,0.037867,0.185809895,0.326217622,-0.025762085,0.188824311,0.242705181,0.232026294
3,n005t1,rh,17.93,26,0.241982132,0.243302613,0.0191104,0.296000928,0.223550439,-0.02906728,-0.16742608,0.068144195,-0.18293269,0.251666307,0.349947244,0.102832764
4,n009t3,rh,18.43,33,0.256822288,0.147808686,0.1435868,0.155055255,0.239268139,0.179513529,0.396280825,0.343249887,0.037677988,0.186163366,0.243961617,0.259027839
5,n017t1,rh,16.23,25,0.202112168,0.253829598,0.197413713,0.080179714,0.269195527,-0.014818385,0.170172244,-0.058585301,0.163827062,0.160604566,0.3020944,0.265130073
6,n021t1,rh,16.59,31,0.20257704,0.189551502,0.157549903,0.167629406,0.190102011,0.110539138,0.11524266,0.242258593,0.213802069,0.123805605,0.19692038,0.241223693
7,n033t1,rh,9.78,27,0.208328143,0.282077968,0.125559285,0.210642904,0.186217159,0.153507158,-0.148686752,0.118320949,-0.127858788,0.244197667,0.312657714,0.249060884
8,n034t1,rh,17.81,28,0.213670373,0.26104784,0.158630997,-0.027292438,0.227228522,0.175031766,-0.159090355,0.194407418,0.204382986,0.238973632,0.161367789,0.338558763
9,n036t2,rh,15.3,26,0.21208024,0.252410442,0.215880319,0.22721231,0.247250378,0.154142231,-0.319206208,-0.006971444,-0.114000954,0.220594376,0.328163922,0.270760864
11,n049t1,rh,13.63,26,0.199739218,-0.067585729,0.340813518,0.078764394,0.261065453,-0.128500879,-0.014623834,0.128879979,-0.167229429,0.22897923,0.240533561,0.241245389
12,n055t1,rh,11.41,29,0.226687431,0.189659238,-0.064286403,0.160797641,0.232876465,-0.033807907,0.227570429,0.351904184,0.106842481,-0.068412371,0.293738633,0.147785187
13,n062t1,rh,7.69,26,0.148523167,0.156428441,0.26410678,0.291843086,0.262183845,0.036692116,0.251789004,0.12225914,-0.227847651,0.309953183,0.245201096,0.212709934
14,n070t1,rh,7.28,21,0.207032025,0.218321204,0.173931673,0.285308391,0.280822456,0.0218779,0.083494537,-0.098257303,-0.156329647,0.186036944,0.299076021,-0.004227167
15,n072t2,rh,15.63,27,0.224126399,0.270217925,0.262656927,0.199688464,0.183602601,0.063101314,0.06454999,0.06454999,0.112403259,0.179244161,0.179173902,0.277899921
16,n077t1,rh,6.54,26,0.174441755,0.207379043,0.229701817,0.158559382,0.173577607,0.056210753,0.064887255,0.082619704,-0.226742327,0.271012187,0.195106342,0.257925302
17,n088t1,rh,10.52,21,0.106143117,0.26428014,0.203504056,0.193800211,0.242418453,0.070007034,0.27340588,0.251663834,0.244497821,0.106370024,0.323436677,0.216683045
