,sub,hemi,label,norm_mean_sulcal_depth,mean_cortical_thickness,type
1,n013t2,rh,central,0.201656565,1.865,Non-Tertiary
29,n013t2,lh,central,0.190555081,2.144,Non-Tertiary
57,n013t2,rh,ifs,0.180208027,2.132,Non-Tertiary
85,n013t2,lh,ifs,0.192010358,2.311,Non-Tertiary
113,n013t2,rh,imfs_h,0.282158226,2.456,Non-Tertiary
141,n013t2,lh,imfs_h,0.142184004,2.302,Non-Tertiary
169,n013t2,rh,imfs_v,0.226562187,1.842,Non-Tertiary
197,n013t2,lh,imfs_v,0.13211897,2.589,Non-Tertiary
225,n013t2,rh,iprs,0.303428859,2.399,Non-Tertiary
253,n013t2,lh,iprs,0.242968291,2.593,Non-Tertiary
281,n013t2,rh,pimfs,-0.344510525,4.121,Tertiary
309,n013t2,lh,pimfs,0.154703647,2.185,Tertiary
337,n013t2,rh,pmfs_a,0.032824434,2.12,Tertiary
365,n013t2,lh,pmfs_a,0.101919375,2.01,Tertiary
393,n013t2,rh,pmfs_i,-0.140079945,2.092,Tertiary
421,n013t2,lh,pmfs_i,-0.359020799,3.314,Tertiary
449,n013t2,rh,pmfs_p,0.201260939,2.395,Tertiary
477,n013t2,lh,pmfs_p,0.1122756,2.601,Tertiary
505,n013t2,rh,sfs_a,0.166076511,2.336,Non-Tertiary
533,n013t2,lh,sfs_a,0.256686449,2.492,Non-Tertiary
561,n013t2,rh,sfs_p,0.224349603,2.479,Non-Tertiary
589,n013t2,lh,sfs_p,0.251512617,2.673,Non-Tertiary
617,n013t2,rh,sprs,0.288127035,2.279,Non-Tertiary
645,n013t2,lh,sprs,0.283796906,2.624,Non-Tertiary
2,n016t2,rh,central,0.280105263,1.865,Non-Tertiary
30,n016t2,lh,central,0.218848586,1.931,Non-Tertiary
58,n016t2,rh,ifs,0.258517265,2.038,Non-Tertiary
86,n016t2,lh,ifs,0.27524069,2.397,Non-Tertiary
114,n016t2,rh,imfs_h,0.101513192,1.842,Non-Tertiary
142,n016t2,lh,imfs_h,0.236057788,2.014,Non-Tertiary
170,n016t2,rh,imfs_v,0.235114217,1.758,Non-Tertiary
198,n016t2,lh,imfs_v,0.300518006,2.174,Non-Tertiary
226,n016t2,rh,iprs,0.231328964,2.459,Non-Tertiary
254,n016t2,lh,iprs,0.272227198,2.665,Non-Tertiary
282,n016t2,rh,pimfs,0.061611012,1.667,Tertiary
310,n016t2,lh,pimfs,-0.011874542,2.238,Tertiary
338,n016t2,rh,pmfs_a,-0.016577631,1.732,Tertiary
366,n016t2,lh,pmfs_a,0.041212291,1.937,Tertiary
394,n016t2,rh,pmfs_i,0.14934364,2.115,Tertiary
422,n016t2,lh,pmfs_i,-0.048149489,2.133,Tertiary
450,n016t2,rh,pmfs_p,0.048561767,2.323,Tertiary
478,n016t2,lh,pmfs_p,0.140014768,2.132,Tertiary
506,n016t2,rh,sfs_a,0.245349899,1.888,Non-Tertiary
534,n016t2,lh,sfs_a,0.330006063,2.543,Non-Tertiary
562,n016t2,rh,sfs_p,0.217877746,2.364,Non-Tertiary
590,n016t2,lh,sfs_p,0.220048591,2.505,Non-Tertiary
618,n016t2,rh,sprs,0.327894419,2.376,Non-Tertiary
646,n016t2,lh,sprs,0.236945644,2.386,Non-Tertiary
3,n018t2,rh,central,0.186016396,1.899,Non-Tertiary
31,n018t2,lh,central,0.194160715,2.019,Non-Tertiary
59,n018t2,rh,ifs,0.167346373,2.217,Non-Tertiary
87,n018t2,lh,ifs,0.084038295,2.6,Non-Tertiary
115,n018t2,rh,imfs_h,0.041091044,1.675,Non-Tertiary
143,n018t2,lh,imfs_h,0.261857152,2.419,Non-Tertiary
171,n018t2,rh,imfs_v,0.087869622,1.731,Non-Tertiary
199,n018t2,lh,imfs_v,0.172189623,2.083,Non-Tertiary
227,n018t2,rh,iprs,0.230057359,2.385,Non-Tertiary
255,n018t2,lh,iprs,0.324378908,2.745,Non-Tertiary
283,n018t2,rh,pimfs,0.240788266,1.895,Tertiary
311,n018t2,lh,pimfs,0.054899044,2.576,Tertiary
